
80007968  4 hwDeactivateStudio
80007988  4 salStartAi
80007aac  4 gmGet_80536728_Ptr
80007abc  4 gmInit_80536728
800082a0  4 menuGetNextMenuID
800082d0  4 loadMain_Two
80008ad4  4 loadMain_One
80008fe4  4 synthAddStudioInput
80009074  4 synthRemoveStudioInput
8000916c  4 getRuleNum
800092b4  4 getPlayerCount
80009394  4 setMap
800095a0  4 EnableMetroTRKInterrupts
80059a20  4 lbLoadArchive
80009630  4 ?loadData2
80009b9c  4 GphProc 	cMiniGameMain
8000a328  4 exp 
8000aa2c  4 playerDies
8000aaf0  4 getMaxStatsValue
8000ab1c  4 getMinStatsValue
8000acb0  4 getTrialFlag
8000ae2c  4 renderPauseHUD_renderStatChart
8000aea8  4 menu_getCurrentMenuID 
8000b62c  4 loadCSS_CityTrial_initTimerValue 
8000bba0  4 loadMainMenuMusic
8000bbf0  4 asin
8000bc10  4 acos
8000d26c  4 loadTitlePlayer 
8000fb6c  4 debug_quit
8000fc70  4 gmLoadData
8000fe34  4 setLevelMusic
80010bbc  4 race3D_isFinished
80010fac  4 SetPhaseReady(int) 	IChooseCaptain
80012e64  4 pow 
800135ec  4 loadPlayer
80013b08  4 renderPlayerCam
8001442c  4 loadInGame
8001528c  4 log
800152ac  4 atan2
800174fc  4 startToggleRumble
800181b0  4 menuInputGrabber
80018548  4 loadMainMenu
800189c4  4 aramGetZeroBuffer 
800189e4  4 goTo_menuInputGrabber
8001ae7c  4 hwIRQLeaveCritical
8001ee60  4 cityTrial_gameSettingsThink
80021654  4 CSS_airRide_colorChanger
80023600  4 loadCPU 
